match_id,season,city,team1,team2,winning_team,player_of_match,venue,runs_scored,wickets
,2016.0,Kolkata,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Rohit Sharma,Rajiv Gandhi Intl Stadium,146.0,10.0
2.0,2021.0,Mumbai,Lucknow Super Giants,Chennai Super Kings,,Virat Kohli,MA Chidambaram Stadium,179.0,8.0
,2021.0,Kolkata,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,Rashid Khan,Eden Gardens,121.0,2.0
4.0,2016.0,Bangalore,Rajasthan Royals,,Rajasthan Royals,David Warner,Wankhede Stadium,143.0,6.0
5.0,2019.0,Delhi,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,,Arun Jaitley Stadium,151.0,
6.0,2019.0,,Chennai Super Kings,Delhi Capitals,,MS Dhoni,Rajiv Gandhi Intl Stadium,178.0,4.0
7.0,2011.0,Jaipur,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,,Rajiv Gandhi Intl Stadium,213.0,2.0
8.0,2014.0,Delhi,Sunrisers Hyderabad,Lucknow Super Giants,Sunrisers Hyderabad,Rashid Khan,Rajiv Gandhi Intl Stadium,163.0,8.0
9.0,2022.0,Jaipur,Kolkata Knight Riders,Royal Challengers Bangalore,,Jasprit Bumrah,MA Chidambaram Stadium,203.0,0.0
,2018.0,Jaipur,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Virat Kohli,MA Chidambaram Stadium,200.0,3.0
11.0,2022.0,Bangalore,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,Rohit Sharma,MA Chidambaram Stadium,257.0,4.0
,2019.0,Kolkata,Rajasthan Royals,Lucknow Super Giants,Rajasthan Royals,Jasprit Bumrah,M Chinnaswamy Stadium,143.0,0.0
13.0,2013.0,Jaipur,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,,M Chinnaswamy Stadium,239.0,8.0
14.0,2011.0,Delhi,Delhi Capitals,Mumbai Indians,Mumbai Indians,Virat Kohli,Eden Gardens,231.0,
15.0,2016.0,Bangalore,Gujarat Titans,Mumbai Indians,Gujarat Titans,Chris Gayle,,249.0,9.0
16.0,2019.0,Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,Rashid Khan,Eden Gardens,245.0,0.0
17.0,2017.0,Kolkata,Chennai Super Kings,,Chennai Super Kings,AB de Villiers,Arun Jaitley Stadium,140.0,1.0
18.0,2012.0,Bangalore,Gujarat Titans,,Chennai Super Kings,Jasprit Bumrah,MA Chidambaram Stadium,187.0,8.0
19.0,2014.0,Delhi,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,David Warner,M Chinnaswamy Stadium,252.0,7.0
20.0,2015.0,Chennai,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,MS Dhoni,Arun Jaitley Stadium,178.0,9.0
21.0,2010.0,Mumbai,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,Virat Kohli,Wankhede Stadium,,1.0
22.0,2016.0,Ahmedabad,Lucknow Super Giants,Kolkata Knight Riders,Lucknow Super Giants,,MA Chidambaram Stadium,241.0,3.0
,2014.0,Chennai,Gujarat Titans,Rajasthan Royals,Gujarat Titans,KL Rahul,Eden Gardens,,6.0
24.0,,Mumbai,Gujarat Titans,Mumbai Indians,Mumbai Indians,David Warner,Narendra Modi Stadium,147.0,3.0
25.0,2022.0,Bangalore,Kolkata Knight Riders,Lucknow Super Giants,Lucknow Super Giants,Rohit Sharma,Eden Gardens,238.0,3.0
26.0,2011.0,Mumbai,Chennai Super Kings,Gujarat Titans,Chennai Super Kings,Virat Kohli,,180.0,2.0
27.0,2023.0,Kolkata,Rajasthan Royals,Gujarat Titans,,MS Dhoni,MA Chidambaram Stadium,217.0,0.0
28.0,2022.0,,Rajasthan Royals,Delhi Capitals,Delhi Capitals,Jasprit Bumrah,Rajiv Gandhi Intl Stadium,244.0,2.0
29.0,2014.0,Mumbai,Kolkata Knight Riders,,Kolkata Knight Riders,David Warner,Wankhede Stadium,132.0,9.0
30.0,2009.0,,Gujarat Titans,Royal Challengers Bangalore,Gujarat Titans,Virat Kohli,Arun Jaitley Stadium,137.0,10.0
,,Kolkata,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,Rashid Khan,Wankhede Stadium,227.0,
32.0,2016.0,Kolkata,Lucknow Super Giants,Sunrisers Hyderabad,Sunrisers Hyderabad,AB de Villiers,Eden Gardens,221.0,2.0
33.0,2018.0,Chennai,Delhi Capitals,Gujarat Titans,Delhi Capitals,Hardik Pandya,,145.0,1.0
